t,omega_ref_rpm,omega_rpm,iq_ref,iq_unsat,aw,Te,T_L,ids,iqs,vd,vq,du,sat_iq,mpc_status
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.911842775988235,0.0,6.518710357349576,0.0,0.0,0.0,ok
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9257987166448665,0.0,6.327818400552536,0.0,0.0,0.0,ok
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9347622550467385,0.0,6.293385811587969,0.0,0.0,0.0,ok
0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94286177461448,0.0,6.258707349887541,0.0,0.0,0.0,ok
0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.950181324314466,0.0,6.223729627851302,0.0,0.0,0.0,ok
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.956794073580373,0.0,6.1885210145079785,0.0,0.0,0.0,ok
0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9627663470833046,0.0,6.15314312200628,0.0,0.0,0.0,ok
0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9681582670494215,0.0,6.117651345783093,0.0,0.0,0.0,ok
0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.973024333049224,0.0,6.082095450805742,0.0,0.0,0.0,ok
0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.977413947590513,0.0,6.046520103037405,0.0,0.0,0.0,ok
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98137189258285,0.0,6.010965351166551,0.0,0.0,0.0,ok
0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.984938761265654,0.0,5.975467063249326,0.0,0.0,0.0,ok
0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.988151349762899,0.0,5.940057322480929,0.0,0.0,0.0,ok
0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.991043012038075,0.0,5.904764785915899,0.0,0.0,0.0,ok
0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9936439816705915,0.0,5.8696150096015725,0.0,0.0,0.0,ok
