t,omega_ref_rpm,omega_rpm,iq_ref,iq_unsat,aw,Te,T_L,ids,iqs,vd,vq,du,sat_iq,mpc_status
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.680952858130648,0.0,37.606514290654474,0.0,0.0,0.0,na
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.781279376330592,0.0,14.97216315828205,0.0,0.0,0.0,na
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09873700116033,0.0,8.075641115204574,0.0,0.0,0.0,na
0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.179836982420867,0.0,5.964208251121625,0.0,0.0,0.0,na
0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.190602283238626,0.0,5.307212794115202,0.0,0.0,0.0,na
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181365667844373,0.0,5.091891138784991,0.0,0.0,0.0,na
0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16729382357503,0.0,5.010346184914382,0.0,0.0,0.0,na
0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.152873405282723,0.0,4.969023731661171,0.0,0.0,0.0,na
0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.139355894716974,0.0,4.939543725722975,0.0,0.0,0.0,na
0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12702032846462,0.0,4.91333843103012,0.0,0.0,0.0,na
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.115860253074394,0.0,4.887858505055743,0.0,0.0,0.0,na
0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.105791598660525,0.0,4.862378893437582,0.0,0.0,0.0,na
0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.096714966376064,0.0,4.836723990254798,0.0,0.0,0.0,na
0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.088533736204595,0.0,4.810880495051101,0.0,0.0,0.0,na
0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081158823646033,0.0,4.784880166629753,0.0,0.0,0.0,na
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07450945188354,0.0,4.75876460431901,0.0,0.0,0.0,na
0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06851278021882,0.0,4.732574930033097,0.0,0.0,0.0,na
0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.063103245816189,0.0,4.706349003175399,0.0,0.0,0.0,na
0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.058221873223233,0.0,4.68012089072473,0.0,0.0,0.0,na
0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053815623512548,0.0,4.6539209911413675,0.0,0.0,0.0,na
